Institution Name,Country Code,Country/Territory,Continent,Size Classification,Focus Classification,Research Classification,Age Band,Status,Academic Reputation Score,Employer Reputation Score,Faculty Student Score,Citations per Faculty Score,International Faculty Score,International Students Score,International Research Network Score,Employment Outcomes Score,Overall Score,Type
Bauman Moscow State Technical University,RU,Russia,Europe,"Large (>=12,000 Students)",Comprehensive (All 5 faculty areas),Very High Research Activity,Historic (100 years old and more),A,27.2,50.2,100.0,1.4,37.3,41.2,8.6,16.5,40.3,Private
Gadjah Mada University,ID,Indonesia,Asia,"Extra Large (More than 30,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),High Research Activity,Mature (50-99 years old),A,49.1,55.1,62.3,1.6,39.2,2.0,28.8,36.2,40.2,Private
Radboud University ,NL,Netherlands,Europe,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Mature (50-99 years old),A,29.9,13.5,27.6,82.4,69.8,19.4,90.9,6.5,40.0,Private
Queen's University Belfast,UK,United Kingdom,Europe,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,31.7,27.6,34.5,37.3,99.3,99.0,95.1,11.4,39.9,Private
Universitat Pompeu Fabra (Barcelona),ES,Spain,Europe,"Large (>=12,000 Students)",Focused (3 or 4 faculty areas),Very High Research Activity,Established (25-49 years old),A,30.8,26.2,9.9,91.5,67.3,22.2,78.4,51.4,39.9,Private
Bandung Institute of Technology (ITB),ID,Indonesia,Asia,"Large (>=12,000 Students)",Comprehensive (All 5 faculty areas),Very High Research Activity,Historic (100 years old and more),A,43.7,54.3,62.2,2.3,66.6,3.1,21.5,41.6,39.5,Private
"University of California, Irvine",US,United States,North America,"Extra Large (More than 30,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Mature (50-99 years old),A,39.7,18.4,12.9,59.9,72.0,69.1,85.8,11.6,39.5,Private
King Saud University,SA,Saudi Arabia,Asia,"Extra Large (More than 30,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Mature (50-99 years old),A,34.5,13.1,60.8,29.3,98.6,23.3,93.4,83.4,39.4,Private
University of Cape Town,ZA,South Africa,Africa,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,43.6,50.7,15.7,44.6,62.1,30.1,95.5,92.8,39.4,Private
University of Ottawa,CA,Canada,North America,"Extra Large (More than 30,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,25.9,38.8,4.4,80.3,90.5,70.8,90.7,10.8,39.4,Private
University of Sussex,UK,United Kingdom,Europe,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Mature (50-99 years old),A,23.9,6.8,16.2,80.5,96.9,92.5,85.9,38.0,39.2,Private
USI - Università della Svizzera italiana,CH,Switzerland,Europe,"Small (Fewer than 5,000 Students)",Focused (3 or 4 faculty areas),Very High Research Activity,Established (25-49 years old),A,5.3,4.6,85.0,47.2,100.0,100.0,38.5,61.7,39.2,Private
University of Calgary,CA,Canada,North America,"Extra Large (More than 30,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Mature (50-99 years old),A,36.1,50.5,21.2,41.9,80.6,54.2,85.2,35.3,39.0,Private
Universidad Nacional de Colombia,CO,Colombia,South America,"Extra Large (More than 30,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),High Research Activity,Historic (100 years old and more),A,67.5,93.4,6.1,3.6,7.2,1.5,58.6,36.3,38.9,Private
Università di Padova,IT,Italy,Europe,"Extra Large (More than 30,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,56.2,30.4,9.3,51.9,11.5,7.1,93.4,10.5,38.9,Private
University of Notre Dame,US,United States,North America,"Large (>=12,000 Students)",Comprehensive (All 5 faculty areas),Very High Research Activity,Historic (100 years old and more),B,26.6,44.2,61.5,47.3,23.5,15.2,74.8,74.8,38.9,Public
Queen's University at Kingston,CA,Canada,North America,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,38.6,69.0,6.1,49.6,70.3,33.2,77.6,74.1,38.8,Private
Yeshiva University,US,United States,North America,"Small (Fewer than 5,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),B,2.6,3.7,85.5,98.5,13.75,8.9,42.2,24.1,38.8,Public
Universitas Indonesia,ID,Indonesia,Asia,"Extra Large (More than 30,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Mature (50-99 years old),A,47.5,62.4,44.9,1.9,72.7,4.7,40.3,35.8,38.7,Private
Université Paris Cité,FR,France,Europe,"Extra Large (More than 30,000 Students)",Focused (3 or 4 faculty areas),Very High Research Activity,New (Less than 10 years old),A,34.7,6.8,11.9,91.5,21.0,43.5,99.4,2.5,38.7,
Indian Institute of Technology Madras (IITM),IN,India,Asia,"Medium (>=5,000 Students)",Comprehensive (All 5 faculty areas),Very High Research Activity,Mature (50-99 years old),A,38.0,58.3,27.6,58.3,2.8,1.4,41.4,76.1,38.6,Private
Vrije Universiteit Brussel (VUB),BE,Belgium,Europe,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Mature (50-99 years old),A,22.7,16.1,76.2,23.8,92.1,60.5,90.8,52.0,38.5,Private
American University of Beirut (AUB),LB,Lebanon,Asia,"Medium (>=5,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),B,27.2,40.7,62.1,20.0,74.9,61.8,73.8,99.0,38.4,Public
University of Massachusetts Amherst,US,United States,North America,"Large (>=12,000 Students)",Comprehensive (All 5 faculty areas),Very High Research Activity,Historic (100 years old and more),A,40.7,16.8,13.7,65.3,65.2,22.6,81.1,50.9,38.3,Private
University of Navarra,ES,Spain,Europe,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),High Research Activity,Mature (50-99 years old),B,29.4,66.4,59.7,15.1,22.4,71.8,74.6,28.8,38.3,Public
University of Virginia,US,United States,North America,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,35.2,37.5,60.7,36.5,6.7,10.9,84.9,81.5,38.3,Private
Loughborough University,UK,United Kingdom,Europe,"Large (>=12,000 Students)",Comprehensive (All 5 faculty areas),Very High Research Activity,Mature (50-99 years old),A,29.9,65.9,22.2,37.7,84.3,63.7,88.2,25.6,38.1,Private
Mahidol University,TH,Thailand,Asia,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Mature (50-99 years old),A,40.5,42.7,79.3,5.2,5.7,4.4,59.2,8.3,38.1,Private
Universiti Brunei Darussalam (UBD),BN,Brunei,Asia,"Small (Fewer than 5,000 Students)",Comprehensive (All 5 faculty areas),Very High Research Activity,Established (25-49 years old),A,19.1,9.8,96.5,8.5,100.0,65.4,36.4,1.0,38.1,Private
Sciences Po ,FR,France,Europe,"Medium (>=5,000 Students)",Specialist (2 or fewer faculty areas),Very High Research Activity,Historic (100 years old and more),A,18.7,31.9,93.6,3.3,56.8,98.6,26.3,92.6,38.0,Private
Novosibirsk State University,RU,Russia,Europe,"Medium (>=5,000 Students)",Comprehensive (All 5 faculty areas),Very High Research Activity,Mature (50-99 years old),A,27.3,15.9,94.0,15.7,7.3,58.0,52.3,24.9,37.9,Private
Tel Aviv University,IL,Israel,Asia,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Mature (50-99 years old),A,32.7,19.2,4.2,99.7,34.0,5.5,81.9,90.7,37.9,Private
Beijing Normal University ,CN,China (Mainland),Asia,"Large (>=12,000 Students)",Comprehensive (All 5 faculty areas),Very High Research Activity,Historic (100 years old and more),A,36.3,6.4,27.7,76.4,7.9,25.3,69.8,17.5,37.8,Private
The University of Arizona,US,United States,North America,"Extra Large (More than 30,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,39.6,22.4,67.6,21.5,20.5,13.5,97.0,40.7,37.8,Private
Indian Institute of Technology Kanpur (IITK),IN,India,Asia,"Medium (>=5,000 Students)",Comprehensive (All 5 faculty areas),Very High Research Activity,Mature (50-99 years old),A,32.6,49.3,17.4,79.0,2.3,1.2,25.9,73.8,37.6,Private
Tomsk State University,RU,Russia,Europe,"Medium (>=5,000 Students)",Comprehensive (All 5 faculty areas),Very High Research Activity,Historic (100 years old and more),A,22.9,11.2,99.6,6.3,25.1,93.1,68.6,4.1,37.6,Private
Deakin University,AU,Australia,Oceania,"Extra Large (More than 30,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Established (25-49 years old),A,27.6,30.7,4.7,66.8,97.8,80.5,85.3,28.8,37.5,Private
Moscow Institute of Physics and Technology (MIPT / Moscow Phystech),RU,Russia,Europe,"Medium (>=5,000 Students)",Focused (3 or 4 faculty areas),Very High Research Activity,Mature (50-99 years old),A,19.7,22.5,97.9,16.0,32.7,51.0,43.1,45.6,37.3,Private
Rutgers University–New Brunswick,US,United States,North America,"Extra Large (More than 30,000 Students)",Comprehensive (All 5 faculty areas),Very High Research Activity,Historic (100 years old and more),A,37.6,35.6,51.3,26.3,22.4,36.5,90.8,15.5,37.3,Private
Sun Yat-sen University,CN,China (Mainland),Asia,"Extra Large (More than 30,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Mature (50-99 years old),A,34.4,32.5,52.6,46.0,2.9,5.0,75.7,17.7,37.3,Private
Indian Institute of Technology Kharagpur (IIT-KGP),IN,India,Asia,"Medium (>=5,000 Students)",Focused (3 or 4 faculty areas),Very High Research Activity,Mature (50-99 years old),A,30.2,48.3,13.0,86.4,3.7,1.1,52.4,65.6,37.2,Private
Kyung Hee University,KR,South Korea,Asia,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Mature (50-99 years old),B,24.9,39.0,85.7,13.3,15.3,52.4,63.1,10.2,37.2,Public
National University of Ireland Galway,IE,Ireland,Europe,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),High Research Activity,Historic (100 years old and more),A,26.4,31.6,70.7,13.5,91.3,37.9,75.7,39.3,37.2,Private
Saint Petersburg State University,RU,Russia,Europe,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,41.8,28.8,68.5,6.1,5.9,44.2,80.7,78.9,37.2,Private
University of Porto,PT,Portugal,Europe,"Extra Large (More than 30,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,40.7,23.8,12.8,71.4,7.4,21.3,96.9,55.4,37.1,Private
Technical University of Darmstadt,DE,Germany,Europe,"Large (>=12,000 Students)",Focused (3 or 4 faculty areas),Very High Research Activity,Historic (100 years old and more),A,20.8,38.8,6.1,81.4,63.6,76.5,82.2,37.5,36.9,Private
Victoria University of Wellington,NZ,New Zealand,Oceania,"Large (>=12,000 Students)",Comprehensive (All 5 faculty areas),Very High Research Activity,Mature (50-99 years old),A,44.8,30.1,10.5,30.9,99.4,50.2,69.7,63.6,36.9,Private
L.N. Gumilyov Eurasian National University (ENU),KZ,Kazakhstan,Asia,"Large (>=12,000 Students)",Focused (3 or 4 faculty areas),Very High Research Activity,Established (25-49 years old),A,25.1,37.8,98.8,1.4,48.8,7.0,14.3,11.4,36.8,Private
Maastricht University ,NL,Netherlands,Europe,"Large (>=12,000 Students)",Focused (3 or 4 faculty areas),Very High Research Activity,Established (25-49 years old),A,21.8,22.1,14.9,63.1,98.9,100.0,80.8,68.3,36.7,Private
University of Leicester,UK,United Kingdom,Europe,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,22.2,14.9,44.6,42.7,82.9,88.7,85.7,15.5,36.6,Private
University of Antwerp,BE,Belgium,Europe,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Young (10-24 years old),A,22.7,12.6,55.2,44.8,85.3,34.2,93.4,49.9,36.5,Private
Georgetown University,US,United States,North America,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),B,31.2,44.6,55.4,27.3,10.5,41.7,57.9,96.0,36.3,Public
Heriot-Watt University,UK,United Kingdom,Europe,"Medium (>=5,000 Students)",Comprehensive (All 5 faculty areas),Very High Research Activity,Mature (50-99 years old),A,14.9,29.6,21.3,65.8,100.0,94.9,64.3,31.9,36.3,Private
Hong Kong Baptist University,HK,Hong Kong SAR,Asia,"Medium (>=5,000 Students)",Comprehensive (All 5 faculty areas),Very High Research Activity,Established (25-49 years old),A,17.0,12.8,50.9,39.6,98.0,100.0,30.4,26.9,36.3,Private
Graz University of Technology,AT,Austria,Europe,"Medium (>=5,000 Students)",Focused (3 or 4 faculty areas),Very High Research Activity,Historic (100 years old and more),A,13.5,7.6,99.1,15.7,75.6,61.2,59.7,40.7,36.1,Private
Taylor's University,MY,Malaysia,Asia,"Small (Fewer than 5,000 Students)",Focused (3 or 4 faculty areas),Very High Research Activity,Young (10-24 years old),C,21.5,80.0,55.1,6.6,42.4,97.5,34.9,28.0,36.1,Public
UCSI University,MY,Malaysia,Asia,"Medium (>=5,000 Students)",Comprehensive (All 5 faculty areas),High Research Activity,Young (10-24 years old),C,20.5,54.9,67.1,2.8,72.5,92.7,21.4,74.3,36.1,Public
University of Canterbury | Te Whare Wānanga o Waitaha,NZ,New Zealand,Oceania,"Large (>=12,000 Students)",Comprehensive (All 5 faculty areas),Very High Research Activity,Mature (50-99 years old),A,38.9,39.6,11.3,33.2,98.5,52.7,67.6,54.0,36.2,Private
University of Warsaw ,PL,Poland,Europe,"Extra Large (More than 30,000 Students)",Comprehensive (All 5 faculty areas),Very High Research Activity,Historic (100 years old and more),A,48.9,63.3,38.4,7.1,8.6,9.3,78.0,59.3,36.1,Private
Belarusian State University,BY,Belarus,Europe,"Large (>=12,000 Students)",Focused (3 or 4 faculty areas),Very High Research Activity,Historic (100 years old and more),A,24.2,39.7,96.8,1.3,3.4,48.2,46.2,29.9,36.0,Private
Charles University,CZ,Czech Republic,Europe,"Extra Large (More than 30,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,45.3,34.9,41.3,10.7,23.9,51.6,96.0,41.5,36.0,Private
Gwangju Institute of Science and Technology (GIST),KR,South Korea,Asia,"Small (Fewer than 5,000 Students)",Focused (3 or 4 faculty areas),Very High Research Activity,Established (25-49 years old),A,14.5,6.6,39.2,100.0,22.1,8.8,34.5,13.7,36.0,Private
University of Turku,FI,Finland,Europe,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,28.8,32.1,60.3,36.3,27.3,4.9,88.4,28.3,35.8,Private
Massey University,NZ,New Zealand,Oceania,"Medium (>=5,000 Students)",Comprehensive (All 5 faculty areas),Very High Research Activity,Mature (50-99 years old),A,29.3,19.1,37.4,22.6,98.3,99.7,84.1,32.5,35.7,Private
Jagiellonian University,PL,Poland,Europe,"Extra Large (More than 30,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,38.0,55.1,62.6,6.6,5.0,11.9,82.8,33.0,35.6,Private
University of Tasmania,AU,Australia,Oceania,"Medium (>=5,000 Students)",Comprehensive (All 5 faculty areas),Very High Research Activity,Historic (100 years old and more),A,16.5,7.5,14.5,85.4,61.9,99.4,85.5,23.1,35.6,Private
RUDN University,RU,Russia,Europe,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),High Research Activity,Mature (50-99 years old),A,19.7,33.9,92.7,1.8,9.7,93.0,79.1,8.7,35.5,Private
Swinburne University of Technology,AU,Australia,Oceania,"Large (>=12,000 Students)",Comprehensive (All 5 faculty areas),Very High Research Activity,Established (25-49 years old),A,13.0,16.4,12.2,87.0,97.8,72.2,76.6,18.1,35.4,Private
United Arab Emirates University,AE,United Arab Emirates,Asia,"Medium (>=5,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),High Research Activity,Established (25-49 years old),A,26.3,36.6,59.4,11.5,100.0,38.2,70.8,86.8,35.4,Private
University of Miami,US,United States,North America,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Mature (50-99 years old),B,22.7,32.1,70.8,20.8,66.9,25.3,81.7,50.3,35.4,Public
University of Tartu,EE,Estonia,Europe,"Medium (>=5,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,25.8,10.7,88.9,14.3,40.0,24.2,88.0,79.6,35.4,Private
Griffith University,AU,Australia,Oceania,"Extra Large (More than 30,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Mature (50-99 years old),A,26.1,16.6,7.6,71.7,99.9,40.5,90.0,27.0,35.2,Private
Université Paris 1 Panthéon-Sorbonne ,FR,France,Europe,"Extra Large (More than 30,000 Students)",Focused (3 or 4 faculty areas),Very High Research Activity,Historic (100 years old and more),A,64.0,35.7,4.7,3.4,35.5,49.9,73.4,32.2,35.2,
Xi’an Jiaotong University,CN,China (Mainland),Asia,"Extra Large (More than 30,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Mature (50-99 years old),A,21.8,50.7,22.2,80.7,6.7,4.3,74.4,29.0,35.1,Private
University College Cork,IE,Ireland,Europe,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,29.0,38.1,36.7,25.9,94.6,42.6,76.3,32.8,35.0,Private
University of Macau,MO,Macau SAR,Asia,"Medium (>=5,000 Students)",Focused (3 or 4 faculty areas),Very High Research Activity,Established (25-49 years old),A,9.5,9.8,16.4,84.0,100.0,98.2,49.2,73.8,34.9,Private
University of Surrey,UK,United Kingdom,Europe,"Large (>=12,000 Students)",Comprehensive (All 5 faculty areas),Very High Research Activity,Mature (50-99 years old),A,20.4,28.1,21.5,49.6,97.7,89.7,82.1,21.0,34.7,Private
Huazhong University of Science and Technology,CN,China (Mainland),Asia,"Extra Large (More than 30,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Mature (50-99 years old),A,21.3,40.2,10.5,96.0,6.2,4.9,75.0,20.5,34.6,Private
Tianjin University,CN,China (Mainland),Asia,"Large (>=12,000 Students)",Comprehensive (All 5 faculty areas),Very High Research Activity,Mature (50-99 years old),A,18.3,4.3,31.2,92.0,16.3,19.6,69.5,30.6,34.4,Private
Dalhousie University,CA,Canada,North America,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,18.5,21.2,14.2,63.8,100.0,80.5,81.7,18.4,34.3,Private
HSE University,RU,Russia,Europe,"Extra Large (More than 30,000 Students)",Focused (3 or 4 faculty areas),Very High Research Activity,Established (25-49 years old),A,26.9,32.6,92.6,1.9,7.8,17.2,70.6,25.5,34.3,Private
National Research Nuclear University MEPhI (Moscow Engineering Physics Institute),RU,Russia,Europe,"Small (Fewer than 5,000 Students)",Focused (3 or 4 faculty areas),Very High Research Activity,Mature (50-99 years old),A,9.2,11.3,99.2,11.8,52.9,89.1,42.7,31.7,34.3,Private
Universität Innsbruck,AT,Austria,Europe,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),High Research Activity,Historic (100 years old and more),A,19.8,5.3,65.7,12.8,100.0,99.9,81.0,47.4,34.3,Private
North Carolina State University,US,United States,North America,"Extra Large (More than 30,000 Students)",Comprehensive (All 5 faculty areas),Very High Research Activity,Historic (100 years old and more),A,29.2,23.0,11.3,68.3,63.7,16.0,79.0,31.3,34.1,Private
Tufts University,US,United States,North America,"Medium (>=5,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),B,18.3,7.2,65.7,48.2,30.1,32.9,77.9,83.1,34.1,Public
University of Tsukuba,JP,Japan,Asia,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Established (25-49 years old),A,33.9,17.5,63.5,19.2,15.0,26.5,61.0,13.0,34.1,Private
La Trobe University,AU,Australia,Oceania,"Large (>=12,000 Students)",Comprehensive (All 5 faculty areas),Very High Research Activity,Mature (50-99 years old),A,20.8,20.9,6.4,61.9,94.5,99.4,81.1,11.4,33.9,Private
Université Grenoble Alpes,FR,France,Europe,"Extra Large (More than 30,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,New (Less than 10 years old),A,43.3,12.5,8.3,51.1,25.7,37.8,97.4,13.3,33.8,Private
University of Colorado Boulder,US,United States,North America,"Extra Large (More than 30,000 Students)",Comprehensive (All 5 faculty areas),Very High Research Activity,Historic (100 years old and more),A,37.0,13.5,41.8,36.8,30.2,5.8,89.6,47.2,33.8,Private
University of Illinois at Chicago (UIC),US,United States,North America,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,42.0,31.9,35.6,26.4,10.1,15.4,89.8,41.6,33.8,Private
Linköping University,SE,Sweden,Europe,"Large (>=12,000 Students)",Comprehensive (All 5 faculty areas),Very High Research Activity,Established (25-49 years old),A,19.8,25.6,32.5,55.0,74.7,36.2,89.0,22.3,33.7,Private
Universidad Carlos III de Madrid (UC3M),ES,Spain,Europe,"Large (>=12,000 Students)",Focused (3 or 4 faculty areas),Very High Research Activity,Established (25-49 years old),A,31.0,48.4,57.1,5.3,46.4,29.5,65.0,11.7,33.7,Private
Kazan (Volga region) Federal University,RU,Russia,Europe,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,20.8,7.6,91.4,3.2,11.1,93.1,80.7,12.9,33.4,Private
Pontificia Universidad Católica Argentina,AR,Argentina,South America,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Medium Research Activity,Mature (50-99 years old),B,20.4,43.3,99.8,1.1,2.3,7.4,8.5,26.1,33.3,Public
University of Milan,IT,Italy,Europe,"Extra Large (More than 30,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Mature (50-99 years old),A,49.8,15.0,5.4,48.5,9.0,7.1,88.4,16.5,33.2,Private
Politecnico di Torino,IT,Italy,Europe,"Extra Large (More than 30,000 Students)",Focused (3 or 4 faculty areas),Very High Research Activity,Historic (100 years old and more),A,36.6,47.3,2.5,54.0,3.3,41.8,71.3,15.5,33.1,Private
University of Strathclyde,UK,United Kingdom,Europe,"Large (>=12,000 Students)",Comprehensive (All 5 faculty areas),Very High Research Activity,Mature (50-99 years old),A,25.9,41.8,18.8,33.4,93.1,65.8,80.0,25.5,33.1,Private
National Taiwan University of Science and Technology (Taiwan Tech),TW,Taiwan,Asia,"Medium (>=5,000 Students)",Focused (3 or 4 faculty areas),Very High Research Activity,Established (25-49 years old),A,25.6,37.6,52.6,25.1,26.6,39.9,34.4,50.8,33.0,Private
Goethe-University Frankfurt am Main,DE,Germany,Europe,"Extra Large (More than 30,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,45.4,28.6,26.4,15.6,37.9,27.5,93.7,7.6,32.9,Private
Simon Fraser University,CA,Canada,North America,"Large (>=12,000 Students)",Comprehensive (All 5 faculty areas),Very High Research Activity,Mature (50-99 years old),A,24.9,21.2,5.4,52.5,93.8,88.3,75.6,24.9,32.9,Private
Aalborg University,DK,Denmark,Europe,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Established (25-49 years old),A,19.8,28.1,34.2,47.8,73.2,30.0,90.3,24.3,32.5,Private
University of Waikato,NZ,New Zealand,Oceania,"Medium (>=5,000 Students)",Comprehensive (All 5 faculty areas),Very High Research Activity,Mature (50-99 years old),A,18.4,13.0,12.0,58.2,99.1,88.7,56.8,54.2,32.3,Private
National Taiwan Normal University,TW,Taiwan,Asia,"Medium (>=5,000 Students)",Comprehensive (All 5 faculty areas),Very High Research Activity,Mature (50-99 years old),A,32.7,18.6,68.3,6.3,14.8,28.1,25.2,17.2,32.2,Private
Universidade Federal do Rio de Janeiro,BR,Brazil,South America,"Extra Large (More than 30,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,58.1,25.3,19.3,8.9,9.2,1.6,77.0,52.2,32.1,Private
National University of Sciences And Technology (NUST) Islamabad,PK,Pakistan,Asia,"Large (>=12,000 Students)",Comprehensive (All 5 faculty areas),Very High Research Activity,Established (25-49 years old),A,18.2,67.7,77.0,9.6,3.0,5.7,55.5,14.6,32.0,Private
University of Cologne,DE,Germany,Europe,"Extra Large (More than 30,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,36.7,31.0,24.8,25.6,44.6,33.0,89.7,27.5,31.9,Private
University of Lisbon ,PT,Portugal,Europe,"Extra Large (More than 30,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,42.5,20.5,12.3,38.2,10.0,41.9,95.1,55.4,31.9,Private
Ural Federal University - UrFU,RU,Russia,Europe,"Large (>=12,000 Students)",Comprehensive (All 5 faculty areas),Very High Research Activity,Historic (100 years old and more),A,21.6,14.0,96.1,2.1,5.5,36.6,77.2,7.2,31.9,Private
Hiroshima University,JP,Japan,Asia,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Mature (50-99 years old),A,22.4,13.0,87.2,10.3,20.1,17.0,57.2,4.9,31.8,Private
Indiana University Bloomington,US,United States,North America,"Extra Large (More than 30,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,36.6,26.3,28.4,29.4,43.3,11.8,87.1,63.8,31.7,Private
Friedrich-Alexander-Universität Erlangen-Nürnberg,DE,Germany,Europe,"Extra Large (More than 30,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Historic (100 years old and more),A,23.3,13.1,2.6,85.8,33.7,28.8,91.5,12.0,31.6,Private
Universiti Teknologi Brunei,BN,Brunei,Asia,"Small (Fewer than 5,000 Students)",Focused (3 or 4 faculty areas),Very High Research Activity,Established (25-49 years old),A,12.0,7.0,95.1,7.6,99.0,8.6,11.7,1.0,31.6,Private
University of East Anglia (UEA),UK,United Kingdom,Europe,"Large (>=12,000 Students)",Full Comprehensive (All 5 faculty areas + medical school),Very High Research Activity,Mature (50-99 years old),A,18.6,10.8,21.5,59.7,77.7,54.7,89.5,12.3,31.5,Private
"Birkbeck, University of London",UK,United Kingdom,Europe,"Medium (>=5,000 Students)",Focused (3 or 4 faculty areas),Very High Research Activity,Historic (100 years old and more),A,11.2,3.2,13.1,70.1,97.5,98.1,50.5,8.6,31.4,Private
Universitat Politècnica de Catalunya · BarcelonaTech (UPC),ES,Spain,Europe,"Large (>=12,000 Students)",Comprehensive (All 5 faculty areas),Very High Research Activity,Mature (50-99 years old),A,32.5,25.8,45.1,24.7,12.7,21.8,89.2,18.9,31.4,Private
MGIMO University,RU,Russia,Europe,"Medium (>=5,000 Students)",Specialist (2 or fewer faculty areas),Very High Research Activity,Mature (50-99 years old),A,12.5,24.6,100.0,1.4,15.8,52.4,1.5,93.9,31.3,Private
